,reset_hex,reset,resolution,x,y,z
0,f7b,3963.0,2.0,-745.0,158.0,-493.0
1,f7b,3963.0,2.0,-400.0,274.0,-1469.0
2,f7b,3963.0,2.0,-364.0,233.0,-1465.0
3,f7b,3963.0,2.0,-324.0,171.0,-1441.0
4,f7b,3963.0,2.0,-300.0,191.0,-1421.0
5,f7b,3963.0,2.0,-317.0,187.0,-1444.0
6,f7b,3963.0,2.0,-325.0,194.0,-1442.0
7,f7b,3963.0,2.0,-332.0,214.0,-1445.0
8,f7b,3963.0,2.0,-373.0,244.0,-1463.0
9,f7b,3963.0,2.0,-363.0,247.0,-1463.0
10,f7b,3963.0,2.0,-330.0,249.0,-1454.0
11,f7b,3963.0,2.0,-358.0,250.0,-1438.0
12,f7b,3963.0,2.0,-366.0,228.0,-1452.0
13,f7b,3963.0,2.0,-352.0,238.0,-1456.0
14,f7b,3963.0,2.0,-332.0,256.0,-1449.0
15,f7b,3963.0,2.0,-333.0,269.0,-1444.0
16,f7c,3964.0,2.0,-376.0,241.0,-1463.0
17,f7c,3964.0,2.0,-357.0,232.0,-1437.0
18,f7c,3964.0,2.0,-369.0,247.0,-1422.0
19,f7c,3964.0,2.0,-394.0,231.0,-1441.0
20,f7c,3964.0,2.0,-368.0,248.0,-1440.0
21,f7c,3964.0,2.0,-301.0,313.0,-1392.0
22,f7c,3964.0,2.0,-344.0,261.0,-1405.0
23,f7c,3964.0,2.0,-382.0,285.0,-1453.0
24,f7c,3964.0,2.0,-369.0,283.0,-1444.0
25,f7c,3964.0,2.0,-378.0,290.0,-1448.0
26,f7c,3964.0,2.0,-377.0,269.0,-1413.0
27,f7c,3964.0,2.0,-370.0,237.0,-1442.0
28,f7c,3964.0,2.0,-348.0,234.0,-1400.0
29,f7c,3964.0,2.0,-321.0,201.0,-1408.0
30,f7c,3964.0,2.0,-326.0,220.0,-1423.0
31,f7c,3964.0,2.0,-362.0,270.0,-1448.0
32,f7c,3964.0,2.0,-375.0,282.0,-1457.0
33,f7c,3964.0,2.0,-374.0,277.0,-1456.0
34,f7c,3964.0,2.0,-383.0,275.0,-1453.0
35,f7c,3964.0,2.0,-399.0,276.0,-1472.0
36,f7d,3965.0,2.0,-358.0,280.0,-1453.0
37,f7d,3965.0,2.0,-389.0,220.0,-1472.0
38,f7d,3965.0,2.0,-318.0,279.0,-1415.0
39,f7d,3965.0,2.0,-344.0,296.0,-1414.0
40,f7d,3965.0,2.0,-376.0,316.0,-1434.0
41,f7d,3965.0,2.0,-361.0,300.0,-1430.0
42,f7d,3965.0,2.0,-343.0,272.0,-1410.0
43,f7d,3965.0,2.0,-390.0,288.0,-1426.0
44,f7d,3965.0,2.0,-426.0,307.0,-1438.0
45,f7d,3965.0,2.0,-433.0,309.0,-1449.0
46,f7d,3965.0,2.0,-433.0,289.0,-1457.0
47,f7d,3965.0,2.0,-453.0,335.0,-1450.0
48,f7d,3965.0,2.0,-460.0,368.0,-1447.0
49,f7d,3965.0,2.0,-494.0,402.0,-1441.0
50,f7d,3965.0,2.0,-531.0,396.0,-1456.0
51,f7d,3965.0,2.0,-540.0,434.0,-1447.0
52,f7d,3965.0,2.0,-520.0,391.0,-1450.0
53,f7d,3965.0,2.0,-561.0,381.0,-1460.0
54,f7d,3965.0,2.0,-513.0,412.0,-1454.0
55,f7d,3965.0,2.0,-516.0,432.0,-1446.0
56,f7d,3965.0,2.0,-514.0,446.0,-1438.0
57,f7e,3966.0,2.0,-520.0,439.0,-1441.0
58,f7e,3966.0,2.0,-545.0,433.0,-1452.0
59,f7e,3966.0,2.0,-507.0,441.0,-1433.0
60,f7e,3966.0,2.0,-564.0,420.0,-1443.0
61,f7e,3966.0,2.0,-604.0,391.0,-1475.0
62,f7e,3966.0,2.0,-486.0,364.0,-1460.0
63,f7e,3966.0,2.0,-451.0,421.0,-1427.0
64,f7e,3966.0,2.0,-517.0,414.0,-1457.0
65,f7e,3966.0,2.0,-482.0,417.0,-1443.0
66,f7e,3966.0,2.0,-472.0,374.0,-1445.0
67,f7e,3966.0,2.0,-413.0,434.0,-1425.0
