,reset_hex,reset,resolution,x,y,z
0,7f5,2037.0,2,-2690.0,-189.0,990.0
1,7f5,2037.0,2,-2990.0,-350.0,1357.0
2,7f6,2038.0,2,-4564.0,15.0,1852.0
3,7f6,2038.0,2,-3348.0,-1058.0,1508.0
4,7f6,2038.0,2,-4188.0,-1223.0,1379.0
5,7f6,2038.0,2,-3830.0,-1414.0,1128.0
6,7f6,2038.0,2,-4322.0,-1314.0,1189.0
7,7f6,2038.0,2,-4697.0,-1140.0,1470.0
8,7f6,2038.0,2,-5552.0,-1312.0,1312.0
9,7f6,2038.0,2,-4451.0,-330.0,1479.0
10,7f6,2038.0,2,-3972.0,-493.0,1396.0
11,7f6,2038.0,2,-3082.0,-350.0,1618.0
12,7f6,2038.0,2,-5458.0,326.0,1055.0
13,7f6,2038.0,2,-5418.0,584.0,840.0
14,7f6,2038.0,2,-4803.0,71.0,1360.0
15,7f6,2038.0,2,-3292.0,-759.0,1222.0
16,7f6,2038.0,2,-2751.0,-713.0,1389.0
17,7f6,2038.0,2,-2847.0,-312.0,1117.0
18,7f6,2038.0,2,-3545.0,-403.0,1289.0
19,7f6,2038.0,2,-4566.0,-735.0,1766.0
20,7f6,2038.0,2,-3075.0,-291.0,1341.0
21,7f6,2038.0,2,-2425.0,-234.0,1356.0
22,7f6,2038.0,2,-3356.0,-464.0,917.0
23,7f7,2039.0,2,-5167.0,173.0,850.0
24,7f7,2039.0,2,-4490.0,299.0,1535.0
25,7f7,2039.0,2,-2988.0,-171.0,1586.0
26,7f7,2039.0,2,-2471.0,-310.0,1516.0
27,7f7,2039.0,2,-3148.0,-484.0,1529.0
28,7f7,2039.0,2,-5662.0,-149.0,1184.0
29,7f7,2039.0,2,-4462.0,67.0,1220.0
30,7f7,2039.0,2,-5793.0,-149.0,1240.0
31,7f7,2039.0,2,-5651.0,358.0,1291.0
32,7f7,2039.0,2,-3699.0,580.0,1313.0
33,7f7,2039.0,2,-5630.0,-39.0,1163.0
34,7f7,2039.0,2,-4145.0,285.0,998.0
35,7f7,2039.0,2,-3266.0,-484.0,1330.0
36,7f7,2039.0,2,-3043.0,-449.0,1382.0
37,7f7,2039.0,2,-4740.0,-176.0,1377.0
38,7f7,2039.0,2,-2641.0,137.0,1144.0
39,7f7,2039.0,2,-3223.0,-841.0,1400.0
40,7f7,2039.0,2,-2963.0,-668.0,1018.0
41,7f7,2039.0,2,-2288.0,-694.0,831.0
42,7f7,2039.0,2,-2699.0,-566.0,738.0
43,7f8,2040.0,2,-3073.0,-529.0,633.0
44,7f8,2040.0,2,-4605.0,-558.0,1435.0
45,7f8,2040.0,2,-3426.0,-25.0,1670.0
46,7f8,2040.0,2,-3086.0,-779.0,1639.0
47,7f8,2040.0,2,-2739.0,-813.0,1325.0
48,7f8,2040.0,2,-3198.0,-732.0,1308.0
49,7f8,2040.0,2,-2767.0,-357.0,947.0
50,7f8,2040.0,2,-2741.0,-379.0,1107.0
51,7f8,2040.0,2,-3193.0,-425.0,1772.0
52,7f8,2040.0,2,-3886.0,-618.0,1571.0
53,7f8,2040.0,2,-5068.0,-1324.0,1528.0
54,7f8,2040.0,2,-2609.0,-306.0,1092.0
55,7f8,2040.0,2,-4454.0,-486.0,1675.0
56,7f8,2040.0,2,-3267.0,-489.0,1353.0
57,7f8,2040.0,2,-3386.0,286.0,1453.0
58,7f8,2040.0,2,-2395.0,225.0,1294.0
59,7f8,2040.0,2,-2346.0,-378.0,1061.0
60,7f8,2040.0,2,-2344.0,-669.0,850.0
61,7f8,2040.0,2,-2430.0,-293.0,1036.0
62,7f8,2040.0,2,-3125.0,-437.0,1496.0
63,7f8,2040.0,2,-3717.0,-1437.0,1207.0
64,7f9,2041.0,2,-3836.0,-1098.0,988.0
65,7f9,2041.0,2,-4709.0,-454.0,1482.0
66,7f9,2041.0,2,-4963.0,-675.0,1572.0
67,7f9,2041.0,2,-3802.0,-701.0,1470.0
68,7f9,2041.0,2,-2483.0,-404.0,1194.0
69,7f9,2041.0,2,-2414.0,-463.0,1253.0
70,7f9,2041.0,2,-3732.0,-497.0,1112.0
71,7f9,2041.0,2,-2681.0,-455.0,1183.0
72,7f9,2041.0,2,-2471.0,-666.0,1482.0
73,7f9,2041.0,2,-2322.0,-500.0,1446.0
74,7f9,2041.0,2,-3351.0,-908.0,1482.0
75,7f9,2041.0,2,-3250.0,-917.0,1586.0
76,7f9,2041.0,2,-3668.0,-900.0,942.0
77,7f9,2041.0,2,-4692.0,-1257.0,1240.0
78,7f9,2041.0,2,-3549.0,-879.0,1028.0
79,7f9,2041.0,2,-2447.0,-592.0,855.0
80,7f9,2041.0,2,-2537.0,-193.0,1340.0
81,7f9,2041.0,2,-4468.0,-654.0,1417.0
82,7f9,2041.0,2,-5819.0,-1032.0,1858.0
83,7f9,2041.0,2,-5876.0,-965.0,1585.0
84,7fa,2042.0,2,-2825.0,-300.0,1203.0
85,7fa,2042.0,2,-2783.0,-626.0,1459.0
86,7fa,2042.0,2,-2494.0,-658.0,1213.0
87,7fa,2042.0,2,-3327.0,-576.0,1267.0
88,7fa,2042.0,2,-4130.0,-701.0,1342.0
89,7fa,2042.0,2,-4026.0,-1331.0,1393.0
90,7fa,2042.0,2,-4402.0,-1046.0,1435.0
91,7fa,2042.0,2,-2493.0,-714.0,1206.0
92,7fa,2042.0,2,-3952.0,-1145.0,1496.0
93,7fa,2042.0,2,-5350.0,-1765.0,1703.0
94,7fa,2042.0,2,-4128.0,-1156.0,1722.0
95,7fa,2042.0,2,-2832.0,-832.0,1257.0
96,7fa,2042.0,2,-2874.0,-556.0,1267.0
97,7fa,2042.0,2,-3227.0,-1093.0,1542.0
98,7fa,2042.0,2,-3667.0,-1264.0,1517.0
99,7fa,2042.0,2,-4040.0,-1001.0,1553.0
100,7fa,2042.0,2,-5363.0,-2072.0,1676.0
101,7fa,2042.0,2,-2835.0,-797.0,1250.0
102,7fa,2042.0,2,-2763.0,-697.0,1205.0
103,7fa,2042.0,2,-3959.0,-1188.0,1013.0
104,7fa,2042.0,2,-4247.0,-990.0,1213.0
105,7fb,2043.0,2,-4785.0,-1346.0,1588.0
106,7fb,2043.0,2,-3973.0,-1146.0,1640.0
107,7fb,2043.0,2,-3025.0,-728.0,1469.0
108,7fb,2043.0,2,-3182.0,-689.0,1552.0
109,7fb,2043.0,2,-2592.0,-386.0,1371.0
110,7fb,2043.0,2,-2606.0,-555.0,1402.0
111,7fb,2043.0,2,-2445.0,-536.0,1423.0
112,7fb,2043.0,2,-3101.0,-953.0,1433.0
113,7fb,2043.0,2,-3306.0,-1435.0,1118.0
114,7fb,2043.0,2,-3224.0,-970.0,1398.0
115,7fb,2043.0,2,-3126.0,-949.0,1915.0
116,7fb,2043.0,2,-2261.0,-784.0,1441.0
117,7fb,2043.0,2,-2385.0,-579.0,1140.0
118,7fb,2043.0,2,-4358.0,-1347.0,1572.0
119,7fb,2043.0,2,-2666.0,-992.0,1078.0
120,7fb,2043.0,2,-2521.0,-895.0,1011.0
121,7fb,2043.0,2,-2537.0,-716.0,810.0
122,7fb,2043.0,2,-2130.0,-412.0,886.0
123,7fb,2043.0,2,-1833.0,-704.0,1180.0
124,7fb,2043.0,2,-1981.0,-439.0,1152.0
125,7fc,2044.0,2,-3858.0,-715.0,1533.0
126,7fc,2044.0,2,-4228.0,-768.0,1464.0
127,7fc,2044.0,2,-2362.0,-364.0,1261.0
128,7fc,2044.0,2,-2601.0,-629.0,1450.0
129,7fc,2044.0,2,-2781.0,-227.0,1510.0
130,7fc,2044.0,2,-2372.0,-698.0,1351.0
131,7fc,2044.0,2,-2699.0,-435.0,1299.0
132,7fc,2044.0,2,-2723.0,-383.0,1322.0
133,7fc,2044.0,2,-2540.0,-282.0,1213.0
134,7fc,2044.0,2,-3337.0,-214.0,1377.0
135,7fc,2044.0,2,-5316.0,-1210.0,1359.0
136,7fc,2044.0,2,-5530.0,-808.0,1906.0
137,7fc,2044.0,2,-4128.0,-1066.0,1412.0
138,7fc,2044.0,2,-4371.0,-799.0,1396.0
139,7fc,2044.0,2,-4729.0,-1447.0,1200.0
140,7fc,2044.0,2,-2928.0,-665.0,1123.0
141,7fc,2044.0,2,-3138.0,-631.0,1153.0
142,7fc,2044.0,2,-4234.0,-91.0,1480.0
143,7fc,2044.0,2,-2807.0,-224.0,1470.0
144,7fc,2044.0,2,-2568.0,-337.0,1617.0
145,7fc,2044.0,2,-2789.0,-883.0,1244.0
146,7fd,2045.0,2,-2783.0,-549.0,1192.0
147,7fd,2045.0,2,-3548.0,-675.0,1422.0
148,7fd,2045.0,2,-4772.0,-832.0,1260.0
149,7fd,2045.0,2,-4475.0,-1217.0,1700.0
150,7fd,2045.0,2,-5167.0,-1142.0,1854.0
151,7fd,2045.0,2,-2898.0,-1038.0,1313.0
152,7fd,2045.0,2,-3639.0,-836.0,1355.0
153,7fd,2045.0,2,-4824.0,-843.0,1574.0
154,7fd,2045.0,2,-5802.0,-1385.0,2228.0
155,7fd,2045.0,2,-3467.0,-1048.0,1458.0
156,7fd,2045.0,2,-2593.0,-727.0,1267.0
157,7fd,2045.0,2,-2582.0,-551.0,1251.0
158,7fd,2045.0,2,-3398.0,-466.0,1320.0
159,7fd,2045.0,2,-5051.0,-807.0,1806.0
160,7fd,2045.0,2,-4441.0,-1019.0,1723.0
161,7fd,2045.0,2,-4927.0,-1457.0,1000.0
162,7fd,2045.0,2,-3057.0,-252.0,1048.0
163,7fd,2045.0,2,-4087.0,-499.0,1496.0
164,7fd,2045.0,2,-5173.0,-768.0,1564.0
165,7fd,2045.0,2,-5547.0,-859.0,1326.0
166,7fe,2046.0,2,-5332.0,-1354.0,1382.0
167,7fe,2046.0,2,-3564.0,-792.0,1479.0
168,7fe,2046.0,2,-2710.0,-536.0,1318.0
169,7fe,2046.0,2,-4631.0,-1576.0,1978.0
170,7fe,2046.0,2,-4451.0,-1723.0,1435.0
171,7fe,2046.0,2,-2733.0,-275.0,1011.0
172,7fe,2046.0,2,-3669.0,-1058.0,1467.0
173,7fe,2046.0,2,-3837.0,-1133.0,1269.0
174,7fe,2046.0,2,-5175.0,-1590.0,1471.0
175,7fe,2046.0,2,-4366.0,-1230.0,1438.0
176,7fe,2046.0,2,-4698.0,-921.0,1722.0
177,7fe,2046.0,2,-4870.0,-1189.0,1643.0
178,7fe,2046.0,2,-4172.0,-771.0,994.0
179,7fe,2046.0,2,-3161.0,-381.0,1151.0
