reset,resolution,x,y,z
388,0,1740,11171,64778
2b6,0,1527,11171,64330
47f,0,1278,11171,64411
45a,0,1094,11171,64358
502,0,1038,11171,64551
4e9,0,1138,11171,64410
46f,0,1417,11171,64370
3fa,0,1641,11171,64166
35b,0,1579,11171,64148
33d,0,1492,11171,64026
247,0,1540,11171,64064
4fe,0,1186,11171,64355
4b9,0,176,11172,65508
19b,0,255,11172,65384
2de,0,1260,11172,64744
526,0,867,11172,64181
3a8,0,469,11172,64145
38f,0,634,11172,64053
34a,0,801,11172,64106
316,0,762,11172,64744
0b8,0,1025,11172,65056
1f3,0,1462,11172,65073
245,0,1112,11172,65003
358,0,683,11172,64610
241,0,233,11172,64741
f61,15,517,11172,64518
e8c,15,739,11172,64194
e79,15,622,11172,63977
e9a,15,868,11172,63759
03e,0,1203,11172,63373
555,0,1157,11172,64154
192,0,989,11172,64541
2a4,0,1716,11172,64557
215,0,1157,11173,64490
246,0,1165,11173,64342
391,0,1068,11173,64448
473,0,441,11173,65125
2b8,0,1,11173,65474
1d8,0,983,11173,64960
17b,0,672,11173,64569
150,0,559,11173,64365
195,0,581,11173,64220
0bc,0,1078,11173,64338
11b,0,1682,11173,64601
2d8,0,1858,11173,64919
445,0,1661,11173,64744
5f3,0,1322,11173,64266
605,0,609,11173,63954
588,0,197,11173,63778
43c,0,237,11173,64064
183,0,728,11173,63942
2fe,0,816,11173,64035
3c4,0,608,11173,64293
33e,0,806,11174,64330
324,0,688,11174,64224
247,0,514,11174,64267
191,0,664,11174,64383
223,0,831,11174,64669
404,0,891,11174,64686
585,0,609,11174,64665
6fd,0,410,11174,64671
5b6,0,65508,11174,64321
e1e,15,65349,11174,65009
f2f,15,1076,11174,64888
f93,15,1016,11174,64795
ecc,15,915,11174,64248
101,0,638,11174,63965
2c9,0,160,11174,63852
2dd,0,163,11174,64378
20e,0,566,11174,63581
324,0,65495,11174,64289
12d,0,508,11174,64237
f9a,15,881,11174,64136
01f,0,1236,11174,64310
1aa,0,1458,11175,64507
20c,0,1375,11175,64451
43f,0,1382,11175,64469
5dd,0,1088,11175,64858
85d,0,1350,11175,64960
83d,0,1023,11175,64385
2b2,0,294,11175,63736
470,0,230,11175,64283
521,0,628,11175,64566
425,0,564,11175,65102
e6b,15,840,11175,64697
00a,0,1037,11175,63831
15d,0,861,11175,63662
14f,0,947,11175,63372
045,0,1049,11175,63502
073,0,1620,11175,64894
d2e,15,1720,11175,64443
24b,0,1859,11175,63986
3d6,0,1130,11175,64229
530,0,65231,11175,64578
480,0,190,11175,64377
342,0,376,11176,64697
203,0,798,11176,64874
282,0,1187,11176,64738
1fe,0,1389,11176,64130
34c,0,725,11176,64273
377,0,553,11176,64040
3ee,0,211,11176,63646
23d,0,65499,11176,63297
22e,0,65483,11176,63864
2ff,0,711,11176,65021
1ab,0,1404,11176,64732
29b,0,1131,11176,64800
5fd,0,868,11176,64982
3e5,0,569,11176,64623
108,0,800,11176,64363
082,0,1261,11176,64379
d9a,15,1314,11176,64543
ce2,15,1062,11176,63930
e0e,15,389,11176,63551
eea,15,127,11176,63222
4fc,0,48,11177,63779
4c4,0,65296,11177,64971
075,0,906,11177,64951
e1a,15,1375,11177,64184
176,0,1294,11177,64449
000,0,1080,11177,64320
fa7,15,1247,11177,64443
f25,15,1338,11177,64517
1c8,0,932,11177,64406
379,0,899,11177,64165
3d6,0,949,11177,63915
2d1,0,1068,11177,63959
472,0,1306,11177,64838
084,0,251,11177,65347
057,0,1053,11177,65222
ed8,15,1512,11177,65131
c5d,15,1759,11177,65169
c03,15,1539,11177,64630
07b,0,1465,11177,64609
34a,0,869,11177,64717
25a,0,885,11177,64691
1a2,0,924,11178,64700
154,0,942,11178,64756
058,0,967,11178,64713
f4d,15,1021,11178,64586
f61,15,1099,11178,64451
f1b,15,1343,11178,64484
042,0,1733,11178,64784
22d,0,1968,11178,64933
143,0,1963,11178,65080
0a5,0,2018,11178,64460
1cc,0,1816,11178,64776
e81,15,1945,11178,64835
fb6,15,2483,11178,64823
2aa,0,2290,11178,64449
1e2,0,1527,11178,65163
01b,0,1393,11178,65109
ee6,15,1696,11178,64783
ffc,15,1987,11178,64498
1c0,0,1875,11178,64904
16d,0,1716,11178,64842
0c6,0,1996,11179,64785
1a8,0,2344,11179,64727
254,0,2135,11179,64983
160,0,2098,11179,65004
06d,0,2281,11179,64797
0ec,0,2525,11179,64724
160,0,2026,11179,64527
0e3,0,1853,11179,64425
107,0,2031,11179,64585
161,0,2053,11179,64723
197,0,1800,11179,64684
128,0,1741,11179,64605
022,0,2039,11179,64696
fdd,15,2256,11179,64669
3bb,0,2195,11179,64653
3ce,0,1284,11179,64915
1d8,0,1392,11179,64610
f32,15,1876,11179,64470
f44,15,2432,11179,64555
260,0,2514,11179,64859
1dd,0,1384,11179,64652
1b8,0,1835,11180,64575
160,0,2255,11180,64518
1a9,0,2569,11180,64644
49f,0,2446,11180,64749
348,0,1431,11180,64783
