reset,resolution,x,y,z
6fb,4,prev,prev,43563
6fb,4,8701,53253,41259
6fb,4,7421,41989,46635
6fa,4,4861,55045,41259
6fb,4,62973,39173,34091
6fb,4,3069,30981,31787
7fa,4,4861,25093,32555
7fa,4,65277,20741,29483
7fa,4,61693,23301,28715
7fb,4,58877,30981,31275
7fa,4,509,57861,41259
7fa,4,64254,4613,47915
7fa,4,58365,63493,47915
7fa,4,40189,51717,41003
7fb,4,62206,4101,48683
7fa,4,16382,4357,60459
7fa,4,63486,23813,47403
7fa,4,59646,29445,54059
7fb,4,56830,20229,56619
7fb,4,14334,17413,61227
7fb,4,19454,5638,43
7fa,4,7166,14853,58923
7fb,4,61182,22533,62251
7fc,4,30718,16646,12587
7fc,4,7422,18694,10795
7fb,4,8190,17670,20267
8fc,4,52734,46854,3115
8fb,4,17918,32774,22059
8fb,4,65022,12806,13611
8fb,4,52734,1798,9515
8fb,4,57086,26886,9003
8fb,4,31230,22278,811
8fb,4,41982,51206,12587
8fb,4,38398,41478,10027
8fb,4,34046,23814,17195
8fb,4,36094,37638,12843
8fb,4,44542,32518,13611
8fb,4,37118,15366,18987
8fb,4,46333,64774,24619
8fb,4,47614,4870,7467
8fb,4,35070,20486,19755
8fb,4,41214,20742,555
8fb,4,46846,18694,3883
8fb,4,47870,1542,14379
8fb,4,37886,12294,6699
8fb,4,55806,13573,58411
8fb,4,56574,8198,1579
9fb,4,60925,51718,22827
9fb,4,53246,25350,10539
9fb,4,41726,32006,5163
9fc,4,47870,40198,14891
9fb,4,2558,53510,21291
9fb,4,58622,47878,4651
9fb,4,55551,8709,50219
9fb,4,31997,43014,33835
9fc,4,38397,48390,811
9fb,4,13054,57606,6187
9fb,4,62718,30726,38187
9fb,4,57085,60422,11051
9fb,4,52221,62470,5419
9fb,4,40958,2822,1323
9fb,4,48381,59397,64555
9fb,4,52989,59654,8235
9fb,4,33277,51462,6187
9fb,4,36350,3077,63275
9fb,4,35837,32774,3627
9fb,4,42237,53254,2859
afb,4,38910,6150,7723
afb,4,42749,64262,12843
afb,4,62717,62982,29227
afc,4,47869,59910,7979
afc,4,16382,5382,12331
afb,4,1277,58886,16939
afc,4,63741,35078,21547
afb,4,13309,56582,19499
afb,4,65277,55814,16939
afb,4,61437,61446,11819
afb,4,59389,51974,17707
afc,4,64510,18438,16683
afc,4,1790,20742,19755
afb,4,5886,16390,24363
afb,4,61182,17926,19243
afc,4,57085,62214,22571
afb,4,2046,7942,19243
afb,4,61437,48390,17707
afc,4,65534,2310,15659
afc,4,3838,8710,15403
afb,4,2045,62726,12843
bfb,4,60158,8198,10027
bfc,4,57853,58886,10283
bfb,4,10237,55558,7723
bfb,4,51197,63750,9259
bfb,4,65277,62982,20011
bfb,4,60413,55302,14891
bfb,4,65534,12806,15147
bfc,4,65533,61190,19755
bfb,4,7422,10502,15403
bfc,4,61438,2054,20267
bfc,4,1022,8966,15915
bfc,4,8445,57862,23595
bfb,4,4349,60166,15659
bfb,4,59645,62982,15915
bfb,4,65022,1542,18987
bfb,4,53502,18949,64811
bfb,4,57598,27397,62251
bfb,4,53502,20229,64555
bfb,4,60670,12550,555
bfb,4,35069,55557,52267
cfb,4,59646,16390,10795
cfb,4,55550,6662,4651
cfb,4,52478,14854,7467
cfb,4,50174,2054,8747
cfb,4,43006,20742,4139
cfc,4,59133,62214,11051
cfb,4,3326,7430,8235
cfc,4,60414,8966,10027
cfb,4,13309,42502,20779
cfb,4,62205,53766,21291
cfb,4,47102,32518,22059
cfb,4,65278,32774,26155
cfc,4,29694,23558,26411
cfb,4,20478,42758,35627
cfc,4,59646,22022,33579
cfc,4,11262,21254,33067
cfb,4,15102,29958,34603
cfc,4,64766,19718,32555
cfb,4,15102,17158,38955
cfc,4,58878,17926,32043
cfc,4,17150,18950,29995
dfc,4,12286,27910,22315
dfc,4,12030,5638,30763
dfc,4,22526,27142,37931
dfc,4,19197,60934,30763
dfc,4,24830,13062,24363
dfc,4,15358,20230,22315
dfc,4,25342,25350,22827
dfc,4,21246,42502,6187
dfc,4,8702,51206,18987
dfc,4,20734,28422,20779
dfc,4,20478,33286,13867
dfc,4,28158,12806,33835
dfc,4,26622,14854,32555
dfc,4,35582,3078,35883
dfc,4,46334,19462,21035
dfc,4,20478,1542,25131
dfc,4,30718,12550,28971
dfc,4,32766,15110,15659
dfc,4,10749,59910,11307
dfb,4,24830,2822,13099
dfb,4,63229,53254,14379
efb,4,33789,19718,10795
efb,4,39933,30982,8747
efb,4,44541,33286,299
efb,4,25085,47877,55083
efb,4,40701,29189,64043
efb,4,28157,45573,60971
efb,4,44285,48645,57643
efb,4,38653,44550,3627
efb,4,43005,41733,57387
efb,4,34557,30213,61227
efb,4,45309,36101,62763
efb,4,54525,36358,2603
efb,4,47869,38405,59179
efb,4,46589,44805,50475
efb,4,45053,31493,60459
efc,4,53757,31750,811
efb,4,765,51974,8747
efb,4,64509,52230,3371
efb,4,60413,36870,10795
efb,4,54013,43782,7723
ffc,4,56061,40710,8747
ffb,4,3581,40710,6187
ffb,4,55805,42502,2603
ffb,4,58621,38662,8235
ffb,4,59133,33542,9259
ffc,4,54269,23813,64811
ffc,4,4093,52486,6187
ffc,4,36862,25606,17707
ffc,4,48382,46597,63787
ffc,4,18685,63494,12843
ffb,4,4349,31238,14379
ffc,4,59645,27654,1323
ffc,4,20733,29957,62763
ffc,4,12797,17925,64811
ffc,4,14077,13829,58923
ffc,4,16125,26374,1323
ffc,4,17917,31750,3627
ffc,4,28669,30470,8491
ffc,4,1277,32774,3371
ffc,4,7933,32518,9515
ffc,4,17917,28422,2859
0fb,5,9213,12549,56619
0fc,5,62717,15621,54571
0fc,5,6909,18181,62507
0fc,5,8957,27653,63275
0fc,5,9213,29189,65067
0fc,5,12797,48902,7211
0fc,5,23805,42246,4651
0fc,5,31741,48902,11307
0fc,5,41726,1030,21803
0fc,5,40445,45062,18731
0fc,5,48126,8966,25387
0fc,5,52477,53766,28715
0fc,5,48637,64518,16427
0fc,5,50174,1798,25643
0fd,5,52478,27142,30763
0fd,5,10238,28422,44843
0fc,5,32254,59909,44331
0fa,5,37117,51462,3627
0fa,5,31997,18181,37675
0fb,5,63997,28933,42539
1fb,5,48636,41221,47915
1fb,5,55036,32005,34347
